animeID,name,premiered,genre,type,episodes,producer,licensor,studio,source,scored,scoredBy,members
33,Kenpuu Denki Berserk,Fall 1997,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",TV,25,"['VAP', 'Hakusensha', 'Nippon Television Network']","['Media Blasters', 'NYAV Post']",['OLM'],Manga,8.47,171345,335297
43,Ghost in the Shell,None,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",Movie,1,"['Bandai Visual', 'Kodansha']",['Manga Entertainment'],['Production I.G'],Manga,8.34,205656,377803
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,None,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",OVA,4,['Aniplex'],"['ADV Films', 'Aniplex of America']",['Studio Deen'],Manga,8.77,96930,186725
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Winter 1996,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']",TV,94,"['Aniplex', 'SME Visual Works', 'Fuji TV']",['Media Blasters'],"['Studio Gallop', 'Studio Deen']",Manga,8.39,146837,305329
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,None,"['Samurai', 'Historical', 'Drama', 'Shounen']",Movie,1,"['Fuji TV', 'Sony Music Entertainment']","['ADV Films', 'Aniplex of America']",['Studio Gallop'],Manga,7.62,21789,39273
47,Akira,None,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']",Movie,1,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']","['Funimation', 'Bandai Entertainment', 'Geneon Entertainment USA']",['Tokyo Movie Shinsha'],Manga,8.17,223817,366850
48,.hack//Sign,Spring 2002,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",TV,26,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']","['Funimation', 'Bandai Entertainment']",['Bee Train'],Original,7.07,64272,137965
49,Aa! Megami-sama!,None,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",OVA,5,"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AnimEigo'],['AIC'],Manga,7.37,21799,41298
50,Aa! Megami-sama! (TV),Winter 2005,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",TV,24,"['Bandai Visual', 'TBS']","['Media Blasters', 'NYAV Post']",['AIC'],Manga,7.41,59882,119187
51,Tenshi Kinryouku,None,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",OVA,3,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Media Blasters'],['Hal Film Maker'],Manga,6.4,23770,40827
52,Kidou Tenshi Angelic Layer,Spring 2001,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",TV,26,['TV Tokyo Music'],"['ADV Films', 'Sentai Filmworks']",['Bones'],Manga,7.3,22930,46345
53,Ai Yori Aoshi,Spring 2002,"['Harem', 'Slice of Life', 'Comedy', 'Drama', 'Romance']",TV,24,"['Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']","['Funimation', 'Geneon Entertainment USA']",['J.C.Staff'],Manga,7.19,41103,82948
54,Appleseed (Movie),None,"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",Movie,1,"['Mainichi Broadcasting System', 'Toho', 'TYO Animations', 'TYO']","['Sentai Filmworks', 'Geneon Entertainment USA']",['Digital Frontier'],Manga,7.17,35084,58631
55,Arc the Lad,Spring 1999,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",TV,26,"['Sony Pictures Entertainment', 'Aniplex']",['ADV Films'],['Bee Train'],Game,6.58,4512,12609
56,Avenger,Fall 2003,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",TV,13,['Production I.G'],['Bandai Entertainment'],"['Bee Train', 'Xebec']",Original,5.96,5502,14396
57,Beck,Fall 2004,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",TV,26,"['Marvelous', 'Starchild Records', 'Asatsu DK', 'Kodansha']",['Funimation'],['Madhouse'],Manga,8.36,93406,203628
58,Blue Gender,Fall 1999,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",TV,26,"['Youmex', 'Toshiba EMI']",['Funimation'],['AIC'],Original,7.1,21929,55360
59,Chobits,Spring 2002,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",TV,26,"['TBS', 'Pioneer LDC']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],Manga,7.51,184902,340451
60,Chrno Crusade,Fall 2003,"['Action', 'Demons', 'Historical', 'Romance', 'Shounen', 'Supernatural']",TV,24,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']","['ADV Films', 'Funimation']",['Gonzo'],Manga,7.74,82299,175825
61,D.N.Angel,Spring 2003,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",TV,26,['Kadokawa Shoten'],"['ADV Films', 'Discotek Media']",['Xebec'],Manga,7.29,78833,150259
62,D.C.: Da Capo,Summer 2003,"['Harem', 'Drama', 'Magic', 'Romance']",TV,26,"['Lantis', 'King Records']",[],"['feel.', 'Zexcs']",Visual novel,6.85,24955,60494
63,DearS,Summer 2004,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Shounen']",TV,12,"['Bandai Visual', 'Hal Film Maker', 'Genco', 'Lantis']","['Discotek Media', 'Geneon Entertainment USA']",['Daume'],Manga,6.72,62040,112665
64,Rozen Maiden,Fall 2004,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",TV,12,"['Mellow Head', 'Pony Canyon', 'TBS', 'Memory-Tech', 'Studio Jack']","['Sentai Filmworks', 'Geneon Entertainment USA']",['Nomad'],Manga,7.52,77425,157032
65,Rozen Maiden: Träumend,Fall 2005,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",TV,12,"['Mellow Head', 'TBS']","['Sentai Filmworks', 'Geneon Entertainment USA']",['Nomad'],Manga,7.72,48939,85266
66,Azumanga Daioh,Spring 2002,"['Slice of Life', 'Comedy', 'School']",TV,26,"['Genco', 'Lantis', 'Imagica', 'TV Tokyo Music', 'Cosmic Ray', 'King Records']","['ADV Films', 'Sentai Filmworks']",['J.C.Staff'],4-koma manga,8.03,102645,219793
67,Basilisk: Kouga Ninpou Chou,Spring 2005,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",TV,24,"['GDH', 'Kodansha', 'Sotsu Music Publishing']",['Funimation'],['Gonzo'],Manga,7.64,58112,135359
68,Black Cat,Fall 2005,"['Adventure', 'Comedy', 'Sci-Fi', 'Shounen', 'Super Power']",TV,23,"['GDH', 'Dentsu', 'TBS', 'Sotsu Music Publishing']",['Funimation'],['Gonzo'],Manga,7.47,94667,195931
69,Cluster Edge,Fall 2005,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",TV,25,['Bandai Visual'],['Sentai Filmworks'],['Sunrise'],Original,6.44,2255,8249
71,Full Metal Panic!,Winter 2002,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",TV,24,['Kadokawa Shoten'],"['ADV Films', 'Funimation']",['Gonzo'],Light novel,7.73,179749,348247
72,Full Metal Panic? Fumoffu,Summer 2003,"['Action', 'Comedy', 'School']",TV,12,"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']","['ADV Films', 'Funimation']",['Kyoto Animation'],Light novel,8.14,135579,219820
73,Full Metal Panic! The Second Raid,Summer 2005,"['Action', 'Military', 'Mecha']",TV,13,"['Kadokawa Shoten', 'Happinet Pictures']","['ADV Films', 'Funimation', 'Kadokawa Pictures USA']",['Kyoto Animation'],Light novel,8.02,117093,199423
74,Gakuen Alice,Fall 2004,"['Comedy', 'School', 'Shoujo', 'Super Power']",TV,26,"['Aniplex', 'Sogo Vision']",['Nozomi Entertainment'],['Group TAC'],Manga,7.75,35226,67524
75,Soukyuu no Fafner: Dead Aggressor,Summer 2004,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",TV,25,['TV Tokyo Music'],"['Funimation', 'Geneon Entertainment USA']",['Xebec'],Original,7.35,11056,35144
76,Mahou Shoujo Lyrical Nanoha,Fall 2004,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",TV,13,"['Starchild Records', 'Omnibus Japan']",['Geneon Entertainment USA'],['Seven Arcs'],Original,7.47,33083,78505
77,Mahou Shoujo Lyrical Nanoha A's,Fall 2005,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",TV,13,"['Starchild Records', 'Omnibus Japan']",['Geneon Entertainment USA'],['Seven Arcs'],Original,8.05,27047,50804
79,Shuffle!,Summer 2005,"['Comedy', 'Drama', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Seinen']",TV,24,"['Lantis', 'Memory-Tech']",['Funimation'],"['Xebec', 'Asread']",Visual novel,7.2,102644,206893
80,Mobile Suit Gundam,Spring 1979,"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",TV,43,"['Sotsu', 'Nagoya Broadcasting Network']","['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,7.85,32250,75034
81,Mobile Suit Gundam: The 08th MS Team,None,"['Military', 'Sci-Fi', 'Adventure', 'Drama', 'Romance', 'Mecha']",OVA,12,['Atelier Musa'],['Bandai Entertainment'],['Sunrise'],Original,8.08,27426,49612
82,Mobile Suit Gundam 0080: War in the Pocket,None,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",OVA,6,['Bandai Visual'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,7.88,18164,33518
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,None,"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",Movie,1,"['Sotsu', 'Atelier Musa']",['Bandai Entertainment'],['Sunrise'],Original,6.9,5076,10006
84,Mobile Suit Gundam 0083: Stardust Memory,None,"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",OVA,13,['Bandai Visual'],"['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,7.39,15481,27601
85,Mobile Suit Zeta Gundam,Spring 1985,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",TV,50,"['Sotsu', 'Nagoya Broadcasting Network']","['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Original,7.98,20639,42021
86,Mobile Suit Gundam ZZ,Spring 1986,"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",TV,47,"['Sotsu', 'Nagoya Broadcasting Network']",['Nozomi Entertainment'],['Sunrise'],Original,6.73,11321,24436
87,Mobile Suit Gundam: Char's Counterattack,None,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",Movie,1,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']",['Bandai Entertainment'],"['Sunrise', 'Studio Hibari']",Novel,7.74,15490,27028
88,Mobile Suit Gundam F91,None,"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",Movie,1,"['Sotsu', 'Shochiku', 'Atelier Musa', 'Nagoya Broadcasting Network']","['Nozomi Entertainment', 'Bandai Entertainment']",['Sunrise'],Unknown,6.78,10061,18506
89,Mobile Suit Victory Gundam,Spring 1993,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",TV,51,"['TV Asahi', 'Sotsu', 'Apollon']",['Nozomi Entertainment'],"['Sunrise', 'Studio Deen']",Original,6.85,6302,17037
90,Mobile Suit Gundam Wing,Spring 1995,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",TV,49,['TV Asahi'],['Bandai Entertainment'],['Sunrise'],Original,7.82,63355,110788
91,Mobile Suit Gundam Wing: Endless Waltz,None,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",OVA,3,"['Bandai Visual', 'Sotsu']",['Bandai Entertainment'],['Sunrise'],Original,7.84,20863,35229
92,After War Gundam X,Spring 1996,"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",TV,39,"['TV Asahi', 'Sotsu']",['Nozomi Entertainment'],['Sunrise'],Original,7.37,10529,24336
93,Mobile Suit Gundam SEED,Fall 2002,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",TV,50,"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Atelier Musa']","['Bandai Entertainment', 'NYAV Post']",['Sunrise'],Original,7.86,69208,121022
94,Mobile Suit Gundam SEED Destiny,Fall 2004,"['Action', 'Space', 'Mecha', 'Romance', 'Military', 'Drama', 'Sci-Fi']",TV,50,"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']","['Bandai Entertainment', 'NYAV Post']",['Sunrise'],Original,7.3,48312,79470
95,Turn A Gundam,Spring 1999,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",TV,50,"['Sotsu', 'Fuji TV']",['Nozomi Entertainment'],"['Sunrise', 'Nakamura Production']",Original,7.73,9458,28296
96,Mobile Fighter G Gundam,Spring 1994,"['Sci-Fi', 'Adventure', 'Space', 'Comedy', 'Sports', 'Drama', 'Romance', 'Martial Arts', 'Mecha']",TV,49,"['TV Asahi', 'Sotsu']",['Bandai Entertainment'],['Sunrise'],Original,7.6,25446,46777
97,Last Exile,Spring 2003,"['Action', 'Sci-Fi', 'Adventure']",TV,26,"['GDH', 'Victor Entertainment', 'TV Tokyo Music']","['Funimation', 'Geneon Entertainment USA']",['Gonzo'],Original,7.88,56012,131327
98,Mai-HiME,Fall 2004,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",TV,26,"['Bandai Visual', 'TV Tokyo Music', 'Studio Zain']","['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,7.53,42679,91060
99,Mai-Otome,Fall 2005,"['Comedy', 'Drama', 'Fantasy', 'Magic']",TV,26,"['Bandai Visual', 'Lantis', 'TV Tokyo Music']","['Funimation', 'Bandai Entertainment']",['Sunrise'],Original,7.36,21511,42115
100,Shin Shirayuki-hime Densetsu Prétear,Spring 2001,"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo', 'Super Power']",TV,13,"['Kadokawa Shoten', 'Rondo Robe']","['ADV Films', 'Funimation']",['Hal Film Maker'],Manga,7.29,21933,46226
101,Air,Winter 2005,"['Slice of Life', 'Supernatural', 'Drama', 'Romance']",TV,12,"['Pony Canyon', 'TBS', 'Movic']","['ADV Films', 'Funimation']",['Kyoto Animation'],Visual novel,7.4,121946,227804
102,Aishiteruze Baby★★,Spring 2004,"['Comedy', 'Drama', 'Romance', 'Shoujo']",TV,26,"['Animax', 'Toei Video', 'Sunny Side Up']",[],['TMS Entertainment'],Manga,7.54,41285,78621
103,Akazukin Chacha,Winter 1994,"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",TV,74,"['Nihon Ad Systems', 'Shueisha']",[],['Studio Gallop'],Manga,7.46,3313,10001
104,Ayashi no Ceres,Spring 2000,"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",TV,24,['Bandai Visual'],"['Viz Media', 'Discotek Media']",['Studio Pierrot'],Manga,7.33,21399,46468
105,Boys Be...,Spring 2000,"['Slice of Life', 'Comedy', 'Romance', 'Shounen']",TV,13,['Audio Tanaka'],['Nozomi Entertainment'],['Hal Film Maker'],Manga,6.52,7237,17761
106,Hana yori Dango,Fall 1996,"['Drama', 'Romance', 'School', 'Shoujo']",TV,51,[],"['Viz Media', 'Discotek Media']",['Toei Animation'],Manga,7.83,15571,38370
107,Ou Dorobou Jing,Spring 2002,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",TV,13,['Aniplex'],['ADV Films'],['Studio Deen'],Manga,7.3,11402,29204
108,Ou Dorobou Jing in Seventh Heaven,None,"['Adventure', 'Fantasy', 'Psychological', 'Comedy', 'Shounen']",OVA,3,['Aniplex'],"['ADV Films', 'Funimation']",['Studio Deen'],Unknown,7.37,4707,10404
109,Bakuretsu Tenshi,Spring 2004,"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",TV,24,"['GDH', 'TV Asahi', 'Imagica']",['Funimation'],['Gonzo'],Original,6.88,24797,56629
110,Chuuka Ichiban!,Spring 1997,"['Action', 'Comedy', 'Drama', 'Shounen']",TV,52,[],[],['Nippon Animation'],Manga,7.7,5087,11634
111,Corrector Yui,Spring 1999,"['Sci-Fi', 'Adventure', 'Comedy', 'Magic']",TV,52,"['NHK', 'Studio Tron']",['Viz Media'],['Nippon Animation'],Original,6.89,4211,10113
112,Chou Henshin Cosprayers,Winter 2004,"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'Super Power', 'Sci-Fi']",TV,8,['m.o.e.'],[],"['Imagin', 'Studio Live']",Original,5.03,2366,6581
